tile_x,tile_y,zoom,inside_polygon
67787,46408,17,1
67787,46409,17,1
67787,46410,17,1
67787,46411,17,1
67787,46412,17,1
67787,46413,17,1
67787,46414,17,1
67787,46415,17,1
67787,46416,17,1
67787,46417,17,1
67787,46418,17,1
67787,46419,17,1
67787,46420,17,1
67787,46421,17,1
67787,46422,17,1
67787,46423,17,1
67787,46424,17,1
67787,46425,17,1
67787,46426,17,1
67787,46427,17,1
67787,46428,17,1
67787,46429,17,1
67787,46430,17,1
67787,46431,17,1
67787,46432,17,1
67787,46433,17,1
67787,46434,17,1
67787,46435,17,1
67787,46436,17,1
67787,46437,17,1
67787,46438,17,1
67787,46439,17,1
67787,46440,17,1
67787,46441,17,1
67787,46442,17,1
67787,46443,17,1
67787,46444,17,1
67787,46445,17,1
67787,46446,17,1
67787,46447,17,1
67787,46448,17,1
67788,46408,17,1
67788,46409,17,1
67788,46410,17,1
67788,46411,17,1
67788,46412,17,1
67788,46413,17,1
67788,46414,17,1
67788,46415,17,1
67788,46416,17,1
67788,46417,17,1
67788,46418,17,1
67788,46419,17,1
67788,46420,17,1
67788,46421,17,1
67788,46422,17,1
67788,46423,17,1
67788,46424,17,1
67788,46425,17,1
67788,46426,17,1
67788,46427,17,1
67788,46428,17,1
67788,46429,17,1
67788,46430,17,1
67788,46431,17,1
67788,46432,17,1
67788,46433,17,1
67788,46434,17,1
67788,46435,17,1
67788,46436,17,1
67788,46437,17,1
67788,46438,17,1
67788,46439,17,1
67788,46440,17,1
67788,46441,17,1
67788,46442,17,1
67788,46443,17,1
67788,46444,17,1
67788,46445,17,1
67788,46446,17,1
67788,46447,17,1
67788,46448,17,1
67789,46408,17,1
67789,46409,17,1
67789,46410,17,1
67789,46411,17,1
67789,46412,17,1
67789,46413,17,1
67789,46414,17,1
67789,46415,17,1
67789,46416,17,1
67789,46417,17,1
67789,46418,17,1
67789,46419,17,1
67789,46420,17,1
67789,46421,17,1
67789,46422,17,1
67789,46423,17,1
67789,46424,17,1
67789,46425,17,1
67789,46426,17,1
67789,46427,17,1
67789,46428,17,1
67789,46429,17,1
67789,46430,17,1
67789,46431,17,1
67789,46432,17,1
67789,46433,17,1
67789,46434,17,1
67789,46435,17,1
67789,46436,17,1
67789,46437,17,1
67789,46438,17,1
67789,46439,17,1
67789,46440,17,1
67789,46441,17,1
67789,46442,17,1
67789,46443,17,1
67789,46444,17,1
67789,46445,17,1
67789,46446,17,1
67789,46447,17,1
67789,46448,17,1
67790,46408,17,1
67790,46409,17,1
67790,46410,17,1
67790,46411,17,1
67790,46412,17,1
67790,46413,17,1
67790,46414,17,1
67790,46415,17,1
67790,46416,17,1
67790,46417,17,1
67790,46418,17,1
67790,46419,17,1
67790,46420,17,1
67790,46421,17,1
67790,46422,17,1
67790,46423,17,1
67790,46424,17,1
67790,46425,17,1
67790,46426,17,1
67790,46427,17,1
67790,46428,17,1
67790,46429,17,1
67790,46430,17,1
67790,46431,17,1
67790,46432,17,1
67790,46433,17,1
67790,46434,17,1
67790,46435,17,1
67790,46436,17,1
67790,46437,17,1
67790,46438,17,1
67790,46439,17,1
67790,46440,17,1
67790,46441,17,1
67790,46442,17,1
67790,46443,17,1
67790,46444,17,1
67790,46445,17,1
67790,46446,17,1
67790,46447,17,1
67790,46448,17,1
67791,46408,17,1
67791,46409,17,1
67791,46410,17,1
67791,46411,17,1
67791,46412,17,1
67791,46413,17,1
67791,46414,17,1
67791,46415,17,1
67791,46416,17,1
67791,46417,17,1
67791,46418,17,1
67791,46419,17,1
67791,46420,17,1
67791,46421,17,1
67791,46422,17,1
67791,46423,17,1
67791,46424,17,1
67791,46425,17,1
67791,46426,17,1
67791,46427,17,1
67791,46428,17,1
67791,46429,17,1
67791,46430,17,1
67791,46431,17,1
67791,46432,17,1
67791,46433,17,1
67791,46434,17,1
67791,46435,17,1
67791,46436,17,1
67791,46437,17,1
67791,46438,17,1
67791,46439,17,1
67791,46440,17,1
67791,46441,17,1
67791,46442,17,1
67791,46443,17,1
67791,46444,17,1
67791,46445,17,1
67791,46446,17,1
67791,46447,17,1
67791,46448,17,1
67792,46408,17,1
67792,46409,17,1
67792,46410,17,1
67792,46411,17,1
67792,46412,17,1
67792,46413,17,1
67792,46414,17,1
67792,46415,17,1
67792,46416,17,1
67792,46417,17,1
67792,46418,17,1
67792,46419,17,1
67792,46420,17,1
67792,46421,17,1
67792,46422,17,1
67792,46423,17,1
67792,46424,17,1
67792,46425,17,1
67792,46426,17,1
67792,46427,17,1
67792,46428,17,1
67792,46429,17,1
67792,46430,17,1
67792,46431,17,1
67792,46432,17,1
67792,46433,17,1
67792,46434,17,1
67792,46435,17,1
67792,46436,17,1
67792,46437,17,1
67792,46438,17,1
67792,46439,17,1
67792,46440,17,1
67792,46441,17,1
67792,46442,17,1
67792,46443,17,1
67792,46444,17,1
67792,46445,17,1
67792,46446,17,1
67792,46447,17,1
67792,46448,17,1
67793,46408,17,1
67793,46409,17,1
67793,46410,17,1
67793,46411,17,1
67793,46412,17,1
67793,46413,17,1
67793,46414,17,1
67793,46415,17,1
67793,46416,17,1
67793,46417,17,1
67793,46418,17,1
67793,46419,17,1
67793,46420,17,1
67793,46421,17,1
67793,46422,17,1
67793,46423,17,1
67793,46424,17,1
67793,46425,17,1
67793,46426,17,1
67793,46427,17,1
67793,46428,17,1
67793,46429,17,1
67793,46430,17,1
67793,46431,17,1
67793,46432,17,1
67793,46433,17,1
67793,46434,17,1
67793,46435,17,1
67793,46436,17,1
67793,46437,17,1
67793,46438,17,1
67793,46439,17,1
67793,46440,17,1
67793,46441,17,1
67793,46442,17,1
67793,46443,17,1
67793,46444,17,1
67793,46445,17,1
67793,46446,17,1
67793,46447,17,1
67793,46448,17,1
67794,46408,17,1
67794,46409,17,1
67794,46410,17,1
67794,46411,17,1
67794,46412,17,1
67794,46413,17,1
67794,46414,17,1
67794,46415,17,1
67794,46416,17,1
67794,46417,17,1
67794,46418,17,1
67794,46419,17,1
67794,46420,17,1
67794,46421,17,1
67794,46422,17,1
67794,46423,17,1
67794,46424,17,1
67794,46425,17,1
67794,46426,17,1
67794,46427,17,1
67794,46428,17,1
67794,46429,17,1
67794,46430,17,1
67794,46431,17,1
67794,46432,17,1
67794,46433,17,1
67794,46434,17,1
67794,46435,17,1
67794,46436,17,1
67794,46437,17,1
67794,46438,17,1
67794,46439,17,1
67794,46440,17,1
67794,46441,17,1
67794,46442,17,1
67794,46443,17,1
67794,46444,17,1
67794,46445,17,1
67794,46446,17,1
67794,46447,17,1
67794,46448,17,1
67795,46408,17,1
67795,46409,17,1
67795,46410,17,1
67795,46411,17,1
67795,46412,17,1
67795,46413,17,1
67795,46414,17,1
67795,46415,17,1
67795,46416,17,1
67795,46417,17,1
67795,46418,17,1
67795,46419,17,1
67795,46420,17,1
67795,46421,17,1
67795,46422,17,1
67795,46423,17,1
67795,46424,17,1
67795,46425,17,1
67795,46426,17,1
67795,46427,17,1
67795,46428,17,1
67795,46429,17,1
67795,46430,17,1
67795,46431,17,1
67795,46432,17,1
67795,46433,17,1
67795,46434,17,1
67795,46435,17,1
67795,46436,17,1
67795,46437,17,1
67795,46438,17,1
67795,46439,17,1
67795,46440,17,1
67795,46441,17,1
67795,46442,17,1
67795,46443,17,1
67795,46444,17,1
67795,46445,17,1
67795,46446,17,1
67795,46447,17,1
67795,46448,17,1
67796,46408,17,1
67796,46409,17,1
67796,46410,17,1
67796,46411,17,1
67796,46412,17,1
67796,46413,17,1
67796,46414,17,1
67796,46415,17,1
67796,46416,17,1
67796,46417,17,1
67796,46418,17,1
67796,46419,17,1
67796,46420,17,1
67796,46421,17,1
67796,46422,17,1
67796,46423,17,1
67796,46424,17,1
67796,46425,17,1
67796,46426,17,1
67796,46427,17,1
67796,46428,17,1
67796,46429,17,1
67796,46430,17,1
67796,46431,17,1
67796,46432,17,1
67796,46433,17,1
67796,46434,17,1
67796,46435,17,1
67796,46436,17,1
67796,46437,17,1
67796,46438,17,1
67796,46439,17,1
67796,46440,17,1
67796,46441,17,1
67796,46442,17,1
67796,46443,17,1
67796,46444,17,1
67796,46445,17,1
67796,46446,17,1
67796,46447,17,1
67796,46448,17,1
67797,46408,17,1
67797,46409,17,1
67797,46410,17,1
67797,46411,17,1
67797,46412,17,1
67797,46413,17,1
67797,46414,17,1
67797,46415,17,1
67797,46416,17,1
67797,46417,17,1
67797,46418,17,1
67797,46419,17,1
67797,46420,17,1
67797,46421,17,1
67797,46422,17,1
67797,46423,17,1
67797,46424,17,1
67797,46425,17,1
67797,46426,17,1
67797,46427,17,1
67797,46428,17,1
67797,46429,17,1
67797,46430,17,1
67797,46431,17,1
67797,46432,17,1
67797,46433,17,1
67797,46434,17,1
67797,46435,17,1
67797,46436,17,1
67797,46437,17,1
67797,46438,17,1
67797,46439,17,1
67797,46440,17,1
67797,46441,17,1
67797,46442,17,1
67797,46443,17,1
67797,46444,17,1
67797,46445,17,1
67797,46446,17,1
67797,46447,17,1
67797,46448,17,1
67798,46408,17,1
67798,46409,17,1
67798,46410,17,1
67798,46411,17,1
67798,46412,17,1
67798,46413,17,1
67798,46414,17,1
67798,46415,17,1
67798,46416,17,1
67798,46417,17,1
67798,46418,17,1
67798,46419,17,1
67798,46420,17,1
67798,46421,17,1
67798,46422,17,1
67798,46423,17,1
67798,46424,17,1
67798,46425,17,1
67798,46426,17,1
