tile_x,tile_y,zoom,yard_name
67794,46454,17,Yard (Main)
67775,46497,17,Yard (Main)
67744,46462,17,Yard (Main)
67775,46456,17,Yard (Main)
67794,46453,17,Yard (Main)
67775,46498,17,Yard (Main)
67744,46461,17,Yard (Main)
67776,46456,17,Yard (Main)
67794,46452,17,Yard (Main)
67775,46499,17,Yard (Main)
67744,46460,17,Yard (Main)
67776,46455,17,Yard (Main)
67777,46456,17,Yard (Main)
67794,46451,17,Yard (Main)
67775,46500,17,Yard (Main)
67743,46460,17,Yard (Main)
67777,46457,17,Yard (Main)
67795,46451,17,Yard (Main)
67775,46501,17,Yard (Main)
67743,46459,17,Yard (Main)
67778,46457,17,Yard (Main)
67795,46450,17,Yard (Main)
67775,46502,17,Yard (Main)
67743,46458,17,Yard (Main)
67779,46457,17,Yard (Main)
67795,46449,17,Yard (Main)
67775,46503,17,Yard (Main)
67743,46457,17,Yard (Main)
67780,46457,17,Yard (Main)
67795,46448,17,Yard (Main)
67775,46504,17,Yard (Main)
67742,46457,17,Yard (Main)
67781,46457,17,Yard (Main)
67780,46458,17,Yard (Main)
67795,46447,17,Yard (Main)
67774,46504,17,Yard (Main)
67742,46456,17,Yard (Main)
67782,46457,17,Yard (Main)
67781,46458,17,Yard (Main)
67795,46446,17,Yard (Main)
67794,46447,17,Yard (Main)
67774,46505,17,Yard (Main)
67742,46455,17,Yard (Main)
67782,46456,17,Yard (Main)
67795,46445,17,Yard (Main)
67796,46446,17,Yard (Main)
67794,46446,17,Yard (Main)
67793,46447,17,Yard (Main)
67774,46506,17,Yard (Main)
67743,46455,17,Yard (Main)
67782,46455,17,Yard (Main)
67796,46445,17,Yard (Main)
67794,46445,17,Yard (Main)
67793,46446,17,Yard (Main)
67774,46507,17,Yard (Main)
67743,46454,17,Yard (Main)
67782,46454,17,Yard (Main)
67796,46444,17,Yard (Main)
67797,46445,17,Yard (Main)
67794,46444,17,Yard (Main)
67792,46446,17,Yard (Main)
67774,46508,17,Yard (Main)
67744,46454,17,Yard (Main)
67783,46454,17,Yard (Main)
67797,46444,17,Yard (Main)
67794,46443,17,Yard (Main)
67793,46444,17,Yard (Main)
67792,46445,17,Yard (Main)
67791,46446,17,Yard (Main)
67774,46509,17,Yard (Main)
67745,46454,17,Yard (Main)
67783,46453,17,Yard (Main)
67797,46443,17,Yard (Main)
67794,46442,17,Yard (Main)
67793,46443,17,Yard (Main)
67792,46444,17,Yard (Main)
67791,46445,17,Yard (Main)
67774,46510,17,Yard (Main)
67746,46454,17,Yard (Main)
67783,46452,17,Yard (Main)
67798,46443,17,Yard (Main)
67794,46441,17,Yard (Main)
67795,46442,17,Yard (Main)
67791,46444,17,Yard (Main)
67774,46511,17,Yard (Main)
67747,46454,17,Yard (Main)
67784,46452,17,Yard (Main)
67798,46442,17,Yard (Main)
67794,46440,17,Yard (Main)
67795,46441,17,Yard (Main)
67793,46441,17,Yard (Main)
67790,46444,17,Yard (Main)
67774,46512,17,Yard (Main)
67747,46455,17,Yard (Main)
67784,46451,17,Yard (Main)
67798,46441,17,Yard (Main)
67794,46439,17,Yard (Main)
67795,46440,17,Yard (Main)
67793,46440,17,Yard (Main)
67796,46441,17,Yard (Main)
67792,46441,17,Yard (Main)
67790,46443,17,Yard (Main)
67774,46513,17,Yard (Main)
67748,46455,17,Yard (Main)
67784,46450,17,Yard (Main)
67798,46440,17,Yard (Main)
67799,46441,17,Yard (Main)
67797,46441,17,Yard (Main)
67794,46438,17,Yard (Main)
67795,46439,17,Yard (Main)
67793,46439,17,Yard (Main)
67792,46440,17,Yard (Main)
