tile_x,tile_y,zoom,yard_name
67277,46776,17,Yard
67278,46776,17,Yard
67277,46777,17,Yard
67279,46776,17,Yard
67278,46777,17,Yard
67277,46778,17,Yard
67276,46777,17,Yard
67280,46776,17,Yard
67279,46777,17,Yard
67276,46778,17,Yard
67281,46776,17,Yard
67280,46777,17,Yard
67279,46778,17,Yard
67281,46777,17,Yard
67281,46778,17,Yard
