tile_x,tile_y,zoom,yard_name
8408,5847,14,Yard
8409,5847,14,Yard
8408,5848,14,Yard
8410,5847,14,Yard
8409,5848,14,Yard
8408,5849,14,Yard
8407,5848,14,Yard
8410,5846,14,Yard
8411,5846,14,Yard
8411,5845,14,Yard
